SYMBOL,Date,Series,Prev Close,Open,High,Low,Last,Volume,Deliverable Volume,%Deliverble,Descripency Detail,Descripency,3 day price
HCLTECH,2022-06-01,EQ,1040.75,1040.75,1045.45,1011.55,1023.9,2554081,1542165,60.38,-,0,0
HAVELLS,2022-05-30,EQ,1181.35,1187.0,1226.9,1187.0,1219.55,615374,270506,43.96,-,0,0
HAVELLS,2022-05-31,EQ,1217.6,1215.0,1217.45,1195.15,1203.0,2007784,1529671,76.19,-,0,0
HAVELLS,2022-06-01,EQ,1201.8,1197.25,1210.9,1182.6,1190.0,1027857,702177,68.31,-,0,0
GRASIM,2022-05-30,EQ,1396.7,1410.0,1449.0,1403.1,1442.0,781271,241631,30.930000000000003,-,0,0
GRASIM,2022-05-31,EQ,1441.0,1448.25,1455.25,1419.85,1426.55,2025958,1160726,57.29,-,0,0
GRASIM,2022-06-01,EQ,1428.6,1425.0,1450.0,1412.6,1445.9,867697,369450,42.58,-,0,0
GODREJCP,2022-05-30,EQ,784.1,788.0,800.35,784.1,799.4,974857,584552,59.96,-,0,0
GODREJCP,2022-05-31,EQ,796.5,795.45,795.45,761.3,767.0,6437056,4905152,76.2,-,0,0
GODREJCP,2022-06-01,EQ,766.95,780.0,780.0,760.45,767.0,1200368,656725,54.71,-,0,0
GAIL,2022-05-30,EQ,142.8,145.05,146.0,141.5,144.0,10172233,2981284,29.31,-,0,0
GAIL,2022-05-31,EQ,143.75,144.25,152.1,143.5,147.1,29501879,18176729,61.61,-,0,0
GAIL,2022-06-01,EQ,147.2,147.45,149.6,147.0,148.6,11277910,5289984,46.91,-,0,0
EICHERMOT,2022-05-30,EQ,2742.1,2755.3,2796.0,2742.85,2765.0,589423,203693,34.56,-,0,0
EICHERMOT,2022-05-31,EQ,2758.45,2770.0,2818.65,2717.2,2806.15,1766731,1167322,66.07,-,0,0
EICHERMOT,2022-06-01,EQ,2780.75,2770.15,2818.0,2752.0,2776.25,358924,114635,31.94,-,0,0
DRREDDY,2022-05-30,EQ,4390.5,4404.0,4426.75,4351.1,4364.3,464803,217057,46.7,-,0,0
DRREDDY,2022-05-31,EQ,4370.3,4355.0,4399.0,4330.6,4355.3,476015,275630,57.9,-,0,0
DRREDDY,2022-06-01,EQ,4369.65,4350.0,4361.65,4301.1,4320.0,354506,194972,55.00000000000001,-,0,0
DMART,2022-05-30,EQ,3613.85,3660.0,3824.9,3645.0,3805.0,429986,155788,36.23,-,0,0
DMART,2022-05-31,EQ,3796.4,3807.75,4049.0,3767.9,3961.0,1335568,561796,42.06,-,0,0
DMART,2022-06-01,EQ,3972.8,3960.0,4039.0,3812.55,3884.0,620365,136311,21.97,-,0,0
DLF,2022-05-30,EQ,324.55,329.4,347.85,327.2,347.0,9568306,2191335,22.9,-,0,0
DLF,2022-05-31,EQ,346.85,345.5,350.3,342.35,345.85,10568070,5039643,47.69,-,0,0
DLF,2022-06-01,EQ,345.55,346.4,348.85,333.6,337.25,5551017,1488658,26.82,-,0,0
DIVISLAB,2022-05-30,EQ,3514.7,3575.0,3611.9,3530.3,3572.95,838443,367678,43.85,-,0,0
DIVISLAB,2022-05-31,EQ,3566.5,3585.0,3627.95,3530.0,3606.05,1013666,537882,53.06000000000001,-,0,0
DIVISLAB,2022-06-01,EQ,3591.3,3627.2,3637.25,3536.0,3559.9,502863,223914,44.53,-,0,0
DABUR,2022-05-30,EQ,497.7,501.4,510.5,500.0,510.0,1594338,967906,60.709999999999994,-,0,0
DABUR,2022-05-31,EQ,510.1,509.8,526.25,504.1,523.0,5516299,4011636,72.72,-,0,0
DABUR,2022-06-01,EQ,519.0,519.35,527.0,515.4,517.8,1596876,697800,43.7,-,0,0
COLPAL,2022-05-30,EQ,1592.3,1592.6,1619.9,1592.6,1612.45,180376,91831,50.91,-,0,0
COLPAL,2022-05-31,EQ,1608.85,1609.0,1642.0,1603.05,1628.0,1266977,859667,67.85,-,0,0
COLPAL,2022-06-01,EQ,1627.2,1628.2,1649.7,1620.05,1623.0,233109,114768,49.23,-,0,0
COALINDIA,2022-05-30,EQ,181.85,184.0,187.9,182.55,186.8,10577525,3081739,29.13,-,0,0
COALINDIA,2022-05-31,EQ,187.2,186.0,195.25,185.2,193.35,21380248,6375398,29.82,-,0,0
COALINDIA,2022-06-01,EQ,192.9,194.5,197.3,193.2,196.8,30867456,20485029,66.36,-,0,0
CIPLA,2022-05-30,EQ,966.35,968.4,992.0,968.0,986.45,2171285,1203157,55.40999999999999,-,0,0
CIPLA,2022-05-31,EQ,986.8,988.9,1004.9,978.7,995.8,4874664,3483018,71.45,-,0,0
CIPLA,2022-06-01,EQ,992.95,994.5,998.65,980.35,982.3,1285579,777495,60.480000000000004,-,0,0
